GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 "06000","California",8,CAGDP2,76,"71","   Arts, entertainment, and recreation","Thousands of dollars",17791748,19519019,22777736,24085213,25021466,26163749,26439283,27526770,26977820,28121623,29854838,32638406,32970673,35387940,35569919,37835358,39230810,42283252,45552560,28963702
 "06000","California",8,CAGDP2,79,"72","   Accommodation and food services","Thousands of dollars",37607844,40408457,42029725,45370715,45600219,48977817,49906023,50513654,48239610,49276840,52011681,54640458,58205049,65233206,74206318,80441932,84941370,88189852,95197830,72514963
 "06000","California",8,CAGDP2,82,"81","  Other services (except government and government enterprises)","Thousands of dollars",35609940,38423225,37663405,39625520,41531265,43600825,43885768,42858112,41589039,41626593,42325685,43951093,45050665,48152855,50259425,51279611,53621237,56129762,58361434,51440736
 "06000","California",8,CAGDP2,83,"...","Government and government enterprises","Thousands of dollars",177229810,187546143,197011702,205556975,214774717,226230013,242448862,254563136,254303473,257631114,263196413,264570722,275202733,289470263,306082470,317494161,322400929,335426693,346828712,350350084
 "06000","California",8,CAGDP2,87,"11, 21","Natural resources and mining","Thousands of dollars",24175543,24519765,28056741,34377074,37999976,42001920,49847423,51367426,42775419,46467441,52800003,55365480,57501804,58379454,47042720,44901216,49232045,50136112,47411530,46819336
 "06000","California",8,CAGDP2,88,"42, 44-45","Trade","Thousands of dollars",175097403,179274865,188530492,199729679,214464888,228352898,231659873,224641247,208838960,220711986,234064980,242869972,257989317,272087578,291432859,288613795,299011102,308064731,327683044,320169004
 "06000","California",8,CAGDP2,89,"22, 48-49","Transportation and utilities","Thousands of dollars",48406108,54038499,55821366,59649366,61413200,71256036,71117379,70818767,70620572,75123965,78106204,78060346,82711399,87406694,94365965,101330716,109601407,118318733,129829362,116199859
 "06000","California",8,CAGDP2,90,"31-33, 51","Manufacturing and information","Thousands of dollars",270672355,263193120,282008277,301469917,328465576,349843400,370948851,392082490,363529849,374914494,378235254,392081280,434610005,457819260,499744027,529087221,582599714,624912575,661865503,674082878
 "06000","California",8,CAGDP2,91,"...","Private goods-producing industries 2/","Thousands of dollars",260645020,246708615,271877138,299237992,338861045,362410368,378274395,378389274,340704698,335753826,338135433,357510073,381568109,401970532,415770055,427531854,469638843,507527992,526193988,523644961
 "06000","California",8,CAGDP2,92,"...","Private services-providing industries 3/","Thousands of dollars",937886461,984174805,1029029818,1083382416,1144924643,1223569603,1278178746,1311742934,1295157704,1360707738,1422168186,1491015645,1563619026,1643845697,1751703339,1824608005,1938934156,2052146305,2179622530,2133192640
 "06001","Alameda, CA",8,CAGDP2,1,"...","All industry total","Thousands of dollars",67417419,69148785,72558587,74962982,78323178,82698824,85877056,87239620,85090729,88407850,91283763,95749481,100521444,105936777,115791781,121053460,129028899,136168877,141888634,139313240
 "06001","Alameda, CA",8,CAGDP2,2,"..."," Private industries","Thousands of dollars",58364684,59394880,62392873,64183177,67327081,71241929,74056295,75860373,73772821,76958060,79674719,83943516,87929283,92433004,101417071,105959194,113788486,120234504,125405428,122599952
 "06001","Alameda, CA",8,CAGDP2,3,"11","  Agriculture, forestry, fishing and hunting","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),87305,85877,88831,93842,91992,107603,84407,96308,83719
 "06001","Alameda, CA",8,CAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction","Thousands of dollars",67151,69718,61011,69973,55845,66209,62652,42179,47466,37016,46251,48579,49868,66437,58650,88974,132107,82387,65593,60733
 "06001","Alameda, CA",8,CAGDP2,10,"22","  Utilities","Thousands of dollars",173023,211761,204511,194061,193516,217087,219429,238851,245274,253054,268012,274123,472772,553981,660448,439552,464501,532067,528797,599625
 "06001","Alameda, CA",8,CAGDP2,11,"23","  Construction","Thousands of dollars",3375627,3252479,3590427,4006453,4425296,4580008,4805907,4402282,4250791,4373539,4193159,4059310,4421790,4598500,5266219,5874959,6600889,7379589,8054483,7442092
 "06001","Alameda, CA",8,CAGDP2,12,"31-33","  Manufacturing","Thousands of dollars",9434955,9020370,9639320,9784877,10076643,10451684,10257566,10438154,10044196,10256031,10418811,11448156,11847786,12141029,13971710,14954159,16995563,17440182,17887457,19840961
 "06001","Alameda, CA",8,CAGDP2,13,"321,327-339","   Durable goods manufacturing","Thousands of dollars",6658129,6457829,6934503,6927737,7310677,7385094,7229223,7190928,6728101,6831926,6825769,7077251,7472127,7868198,9369740,10524901,12730921,13194186,13497677,15286926
 "06001","Alameda, CA",8,CAGDP2,25,"311-316,322-326","   Nondurable goods manufacturing","Thousands of dollars",2776826,2562541,2704817,2857140,2765966,3066590,3028343,3247226,3316095,3424105,3593041,4370905,4375660,4272831,4601970,4429258,4264643,4245995,4389780,4554035
 "06001","Alameda, CA",8,CAGDP2,34,"42","  Wholesale trade","Thousands of dollars",5291207,5120825,5285193,5523572,5976946,6508444,6826207,6882384,6234007,6655303,7305565,7419322,7641129,7961276,8593262,8478011,8818140,9204617,9568346,9138191
 "06001","Alameda, CA",8,CAGDP2,35,"44-45","  Retail trade","Thousands of dollars",4744514,4935449,4986730,5186714,5331782,5579234,5598219,5091563,4498814,4819595,4961783,5602427,5933752,6245834,6551085,6627623,6851940,6979998,7411122,7250720
 "06001","Alameda, CA",8,CAGDP2,36,"48-49","  Transportation and warehousing","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2933175,2982159,3114454,3414702,3687407,3889755,4259554,4591877,3969000
 "06001","Alameda, CA",8,CAGDP2,45,"51","  Information","Thousands of dollars",2813979,3123733,3948542,4177719,4015012,4382112,4926694,4960185,4510460,5385885,5292449,5568250,6154659,6183711,7258786,8352721,7963324,8797229,8936101,8651822
 "06001","Alameda, CA",8,CAGDP2,50,"52, 53","  Finance, insurance, real estate, rental, and leasing","Thousands of dollars",11501204,12079884,12354767,12096099,13011422,13431204,13894596,14013830,14944520,14336334,14873986,15273417,16207296,18244540,19136417,19973661,22337252,23607933,24046789,24486817
 "06001","Alameda, CA",8,CAGDP2,51,"52","   Finance and insurance","Thousands of dollars",2572587,2873746,3264634,3091451,3474622,3749276,3463591,2892996,3257209,2305941,2500086,2601623,2666626,4348449,4758421,5018211,6150931,6189560,6385084,6599455
 "06001","Alameda, CA",8,CAGDP2,56,"53","   Real estate and rental and leasing","Thousands of dollars",8928617,9206138,9090133,9004648,9536800,9681928,10431005,11120834,11687311,12030394,12373900,12671794,13540670,13896091,14377997,14955450,16186321,17418373,17661705,17887362
